"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Jacob deGrom","NYM","12","6","2.32","26","26","0","155.0","105","40","14","233","34","0.89","13.52","1.96","2.07","6.3","5.5","999.0","10954"
"Gerrit Cole","NYY","15","8","3.29","32","32","0","199.0","157","73","27","263","52","1.05","11.94","2.35","3.16","5.4","5.2","999.0","13125"
"Corbin Burnes","MIL","12","8","2.97","29","29","0","174.0","135","57","17","230","50","1.07","11.89","2.60","2.81","5.2","5.1","999.0","19361"
"Zack Wheeler","PHI","14","10","3.32","32","32","0","203.0","180","75","23","221","50","1.13","9.77","2.20","3.31","5.1","4.9","999.0","10310"
"Aaron Nola","PHI","13","10","3.57","32","32","0","192.0","168","76","25","224","54","1.15","10.50","2.51","3.50","4.5","4.0","999.0","16149"
"Shane Bieber","CLE","12","10","3.36","31","31","0","193.0","164","72","24","232","54","1.13","10.84","2.52","3.31","4.5","4.7","999.0","19427"
"Max Scherzer","","12","9","3.43","31","31","0","180.0","148","69","25","228","45","1.07","11.42","2.25","3.31","4.4","4.3","999.0","3137"
"Brandon Woodruff","MIL","12","9","3.39","31","31","0","187.0","161","70","22","220","52","1.13","10.57","2.48","3.32","4.4","4.4","999.0","16162"
"Logan Webb","SFG","12","10","3.38","32","32","0","189.0","176","71","15","189","57","1.24","9.03","2.74","3.25","4.1","3.9","999.0","17995"
"Carlos Rodon","","11","9","3.47","29","29","0","163.0","133","63","20","205","51","1.13","11.37","2.84","3.37","4.0","3.8","999.0","16137"
"Luis Castillo","CIN","12","10","3.77","32","32","0","192.0","177","81","22","210","71","1.29","9.82","3.32","3.71","3.9","3.9","999.0","15689"
"Walker Buehler","LAD","13","9","3.79","32","32","0","198.0","183","84","26","214","56","1.21","9.72","2.55","3.71","3.9","3.3","999.0","19374"
"Charlie Morton","ATL","12","8","3.40","29","29","0","169.0","147","64","17","196","52","1.18","10.44","2.78","3.30","3.8","3.9","999.0","4676"
"Sandy Alcantara","MIA","12","11","3.63","32","32","0","200.0","185","81","21","200","61","1.23","9.01","2.75","3.59","3.7","3.6","999.0","18684"
"Robbie Ray","","12","10","3.77","32","32","0","188.0","155","79","28","242","70","1.19","11.56","3.35","3.76","3.7","3.6","999.0","11486"
"Kevin Gausman","","12","10","3.78","32","32","0","191.0","173","80","26","213","54","1.19","10.00","2.54","3.70","3.6","3.6","999.0","14107"
"Chris Sale","BOS","12","8","3.57","29","29","0","171.0","145","68","22","210","50","1.14","11.08","2.65","3.43","3.6","4.2","999.0","10603"
"Justin Verlander","","12","8","3.62","29","29","0","175.0","148","70","27","213","44","1.09","10.93","2.24","3.62","3.6","3.8","999.0","8700"
"Max Fried","ATL","12","9","3.56","31","31","0","185.0","176","73","20","185","54","1.25","9.03","2.65","3.58","3.5","3.9","999.0","13743"
"Joe Musgrove","SDP","12","9","3.62","31","31","0","182.0","163","73","22","197","53","1.18","9.74","2.63","3.65","3.5","3.3","999.0","12970"
"Eduardo Rodriguez","DET","11","11","3.82","32","32","0","185.0","171","79","24","193","61","1.25","9.39","2.97","3.83","3.5","3.7","999.0","13164"
"Nathan Eovaldi","BOS","12","10","3.94","31","31","0","183.0","176","80","25","184","44","1.20","9.08","2.15","3.75","3.5","3.7","999.0","9132"
"Framber Valdez","HOU","13","9","3.57","31","31","0","191.0","180","76","16","177","77","1.35","8.36","3.65","3.76","3.4","3.9","999.0","17295"
"Jose Berrios","TOR","13","10","3.90","32","32","0","196.0","183","85","26","200","55","1.22","9.20","2.54","3.85","3.4","3.9","999.0","14168"
"Blake Snell","SDP","12","9","3.48","31","31","0","167.0","136","65","19","209","71","1.24","11.27","3.85","3.54","3.4","3.4","999.0","13543"
"Lance Lynn","CHW","12","10","3.99","31","31","0","187.0","170","83","28","202","58","1.22","9.72","2.81","4.04","3.4","3.2","999.0","2520"
"Yu Darvish","SDP","11","9","3.78","29","29","0","169.0","147","71","23","197","48","1.16","10.48","2.58","3.63","3.3","2.9","999.0","13074"
"Pablo Lopez","MIA","11","10","3.50","29","29","0","166.0","150","65","18","173","47","1.19","9.37","2.56","3.51","3.3","3.2","999.0","17085"
"Lucas Giolito","CHW","12","10","4.00","31","31","0","184.0","162","82","30","209","60","1.21","10.22","2.93","4.07","3.3","3.2","999.0","15474"
"German Marquez","COL","11","12","4.53","32","32","0","193.0","205","97","26","189","63","1.39","8.81","2.92","4.07","3.3","3.1","999.0","15038"
"Freddy Peralta","MIL","11","9","3.80","29","29","0","163.0","131","69","23","207","68","1.22","11.45","3.74","3.85","3.3","3.1","999.0","18679"
"Julio Urias","LAD","13","9","3.88","32","32","0","187.0","173","81","28","196","51","1.20","9.45","2.46","3.92","3.2","2.9","999.0","14765"
"Mike Clevinger","SDP","10","7","3.47","26","26","0","148.0","126","57","18","171","49","1.18","10.41","2.99","3.50","3.2","3.0","999.0","12808"
"Clayton Kershaw","","10","8","3.57","26","26","0","148.0","138","59","19","155","35","1.17","9.43","2.11","3.57","3.1","3.2","999.0","2036"
"Sean Manaea","OAK","11","10","3.66","31","31","0","179.0","164","73","24","179","44","1.16","9.02","2.22","3.76","3.1","3.4","999.0","15873"
"Shohei Ohtani","LAA","11","8","3.69","28","28","0","165.0","141","68","22","192","57","1.21","10.50","3.13","3.75","3.1","3.4","999.0","19755"
"Frankie Montas","OAK","11","10","3.71","31","31","0","179.0","160","74","23","190","55","1.20","9.54","2.77","3.75","3.1","3.3","999.0","14309"
"Zac Gallen","ARI","11","11","3.99","31","31","0","178.0","163","79","23","198","65","1.28","10.01","3.30","3.82","3.0","3.0","999.0","19291"
"Dylan Cease","CHW","11","10","4.03","31","31","0","170.0","144","76","26","204","68","1.25","10.83","3.63","4.08","3.0","2.8","999.0","18525"
"Trevor Rogers","MIA","10","9","3.47","28","28","0","154.0","131","59","17","175","55","1.21","10.25","3.22","3.54","3.0","3.1","999.0","22286"
"Tyler Mahle","CIN","11","10","4.24","31","31","0","176.0","164","83","28","197","62","1.29","10.08","3.18","4.18","3.0","2.8","999.0","16358"
"Sonny Gray","CIN","10","10","4.15","29","29","0","163.0","154","75","21","178","63","1.33","9.82","3.49","4.00","2.9","2.7","999.0","12768"
"Jack Flaherty","STL","12","10","3.73","31","31","0","177.0","156","73","24","194","59","1.21","9.88","2.98","3.85","2.8","3.1","999.0","17479"
"Ranger Suarez","PHI","11","9","3.75","29","29","0","165.0","156","69","19","159","60","1.31","8.71","3.26","3.94","2.8","3.1","999.0","17277"
"Michael Kopech","CHW","9","8","3.83","23","43","0","145.0","120","62","21","179","52","1.19","11.15","3.26","3.83","2.7","2.6","999.0","17282"
"Patrick Corbin","WSN","11","10","4.16","29","29","0","174.0","175","81","24","168","57","1.33","8.69","2.93","4.07","2.7","2.6","999.0","9323"
"Carlos Carrasco","NYM","10","9","3.75","28","28","0","157.0","143","66","21","167","49","1.22","9.56","2.79","3.80","2.7","2.4","999.0","6632"
"Hyun-Jin Ryu","TOR","12","10","4.04","31","31","0","180.0","184","81","24","156","44","1.27","7.79","2.19","4.02","2.7","3.2","999.0","14444"
"Lance McCullers Jr.","HOU","10","8","3.66","26","26","0","147.0","131","60","16","160","59","1.29","9.76","3.61","3.74","2.6","2.8","999.0","14120"
"Marcus Stroman","","11","11","4.12","32","32","0","182.0","189","83","22","149","53","1.33","7.38","2.64","4.08","2.6","2.6","999.0","13431"
"Stephen Strasburg","WSN","9","9","4.17","26","26","0","153.0","149","71","20","154","51","1.31","9.06","2.99","4.03","2.6","2.2","999.0","10131"
"Alek Manoah","TOR","11","9","4.06","29","29","0","169.0","151","76","24","187","60","1.25","9.94","3.19","4.05","2.6","3.1","999.0","26410"
"Jordan Montgomery","NYY","11","9","4.08","29","29","0","164.0","157","74","24","164","53","1.28","8.99","2.88","4.13","2.6","2.6","999.0","16511"
"John Means","BAL","10","12","4.46","31","31","0","181.0","179","90","36","168","41","1.22","8.34","2.06","4.68","2.6","2.5","999.0","16269"
"Shane McClanahan","TBR","11","9","3.60","28","28","0","159.0","139","64","19","174","56","1.23","9.82","3.14","3.72","2.6","3.1","999.0","21483"
"Kyle Gibson","PHI","11","11","4.18","32","32","0","187.0","187","87","24","171","70","1.38","8.25","3.36","4.24","2.6","2.4","999.0","10123"
"Alex Wood","","10","9","3.89","29","29","0","160.0","154","69","21","161","49","1.27","9.02","2.77","3.94","2.5","2.8","999.0","13781"
"Ian Anderson","ATL","11","9","4.07","29","29","0","166.0","154","75","20","174","70","1.36","9.43","3.83","4.02","2.5","2.6","999.0","19951"
"Chris Bassitt","OAK","11","11","4.01","31","31","0","186.0","175","83","25","176","53","1.22","8.51","2.55","4.05","2.5","2.8","999.0","12304"
"Steven Matz","","10","9","3.91","29","29","0","161.0","153","70","21","154","49","1.25","8.62","2.76","3.99","2.5","2.4","999.0","13361"
"Adam Wainwright","STL","11","11","4.09","31","31","0","194.0","197","88","25","165","56","1.30","7.63","2.59","4.15","2.5","2.4","999.0","2233"
"Alex Cobb","","10","9","3.95","28","28","0","151.0","150","66","18","141","49","1.31","8.39","2.89","3.92","2.4","2.4","999.0","6562"
"Jon Gray","","10","10","4.13","31","31","0","169.0","161","77","23","170","59","1.30","9.07","3.15","4.08","2.4","2.5","999.0","14916"
"Shane Baz","TBR","9","8","3.71","24","24","0","136.0","116","56","18","154","46","1.19","10.19","3.02","3.80","2.4","2.4","999.0","22264"
"Tarik Skubal","DET","9","10","4.13","29","29","0","158.0","145","73","24","171","53","1.25","9.71","3.02","4.15","2.3","2.6","999.0","22267"
"Anthony DeSclafani","SFG","10","11","4.17","31","31","0","175.0","175","81","23","160","51","1.28","8.20","2.60","4.04","2.3","2.0","999.0","13050"
"Jose Quintana","","9","10","4.05","28","28","0","156.0","150","70","19","153","59","1.35","8.81","3.42","4.07","2.3","2.2","999.0","11423"
"Noah Syndergaard","LAA","9","10","4.53","28","28","0","163.0","169","82","25","134","44","1.31","7.39","2.42","4.43","2.3","1.7","999.0","11762"
"Mike Minor","KCR","10","11","4.33","29","29","0","176.0","173","84","26","158","52","1.29","8.08","2.69","4.35","2.3","2.8","999.0","10021"
"Patrick Sandoval","LAA","10","8","3.92","26","26","0","147.0","136","64","19","150","60","1.33","9.14","3.64","4.13","2.2","2.5","999.0","19447"
"Tanner Houck","BOS","9","9","4.18","26","34","0","148.0","140","69","18","156","56","1.32","9.47","3.38","3.98","2.2","2.5","999.0","19879"
"Luis Garcia","HOU","10","10","4.29","29","29","0","168.0","155","80","26","176","63","1.30","9.38","3.36","4.31","2.2","2.1","999.0","23735"
"Yusei Kikuchi","SEA","10","9","4.03","28","28","0","152.0","145","68","20","147","54","1.31","8.72","3.20","4.08","2.2","2.4","999.0","20633"
"Brady Singer","KCR","9","10","4.21","28","28","0","150.0","149","70","17","134","55","1.36","8.08","3.31","4.14","2.1","2.5","999.0","25377"
"Tylor Megill","NYM","9","8","3.84","24","24","0","133.0","120","57","18","143","44","1.23","9.70","2.97","3.86","2.1","1.9","999.0","21318"
"Joe Ryan","MIN","10","10","4.36","28","28","0","166.0","157","80","28","173","48","1.24","9.38","2.60","4.28","2.1","2.3","999.0","21390"
"Danny Duffy","","8","7","4.08","23","23","0","125.0","114","57","19","133","44","1.27","9.55","3.16","4.16","2.1","1.9","999.0","3542"
"Luis Severino","NYY","10","8","4.06","24","42","0","156.0","148","70","23","156","48","1.26","9.02","2.77","4.11","2.1","2.3","999.0","15890"
"Kyle Freeland","COL","8","11","5.09","29","29","0","163.0","188","92","25","135","55","1.49","7.48","3.05","4.60","2.1","1.7","999.0","16256"
"Logan Gilbert","SEA","9","10","4.17","29","29","0","162.0","150","75","27","168","45","1.21","9.31","2.53","4.23","2.1","2.2","999.0","22250"
"Bailey Ober","MIN","9","10","4.51","28","28","0","158.0","158","79","28","157","43","1.27","8.95","2.46","4.38","2.0","1.9","999.0","21224"
"Huascar Ynoa","ATL","8","7","3.98","23","23","0","124.0","115","55","15","133","44","1.29","9.66","3.23","3.83","2.0","2.1","999.0","20468"
"Adbert Alzolay","CHC","8","9","4.33","26","26","0","144.0","137","69","21","147","51","1.31","9.21","3.22","4.22","2.0","1.9","999.0","17859"
"Merrill Kelly","ARI","9","11","4.56","29","29","0","171.0","181","87","26","145","51","1.35","7.63","2.67","4.42","2.0","1.8","999.0","11156"
"Nick Pivetta","BOS","10","10","4.61","29","29","0","162.0","156","83","25","170","65","1.36","9.46","3.60","4.42","2.0","2.1","999.0","15454"
"Kyle Hendricks","CHC","10","12","4.67","31","31","0","186.0","206","97","29","142","45","1.35","6.86","2.15","4.56","2.0","1.6","999.0","12049"
"Antonio Senzatela","COL","9","13","5.23","31","31","0","180.0","218","104","27","128","51","1.49","6.41","2.54","4.67","2.0","1.6","999.0","15488"
"JT Brubaker","PIT","8","9","4.24","26","26","0","144.0","142","68","20","141","46","1.31","8.82","2.87","4.15","2.0","1.7","999.0","17578"
"Wade Miley","CHC","9","11","4.41","29","29","0","170.0","184","83","22","132","60","1.44","6.99","3.16","4.44","2.0","1.9","999.0","8779"
"Zach Eflin","PHI","8","8","4.22","23","23","0","130.0","131","61","20","120","32","1.25","8.28","2.20","4.19","1.9","1.7","999.0","13774"
"Taijuan Walker","NYM","10","10","4.26","29","29","0","169.0","163","80","25","163","59","1.31","8.70","3.12","4.34","1.9","1.5","999.0","11836"
"Zack Greinke","","9","10","4.42","28","28","0","160.0","171","78","25","129","37","1.30","7.28","2.09","4.38","1.9","1.9","999.0","1943"
"Dane Dunning","TEX","8","10","4.28","28","28","0","154.0","155","73","20","139","55","1.36","8.11","3.20","4.26","1.9","1.8","999.0","19409"
"Andrew Heaney","LAD","8","8","4.19","24","24","0","134.0","125","62","22","143","41","1.24","9.64","2.77","4.21","1.9","1.9","999.0","15423"
"Austin Gomber","COL","9","11","4.97","29","29","0","158.0","170","87","25","151","61","1.47","8.63","3.49","4.59","1.8","1.9","999.0","16561"
"Miles Mikolas","STL","9","9","4.18","26","26","0","145.0","152","67","19","108","34","1.28","6.73","2.09","4.25","1.8","1.6","999.0","9803"
"Corey Kluber","","9","10","4.43","28","28","0","150.0","149","74","22","142","52","1.34","8.50","3.11","4.38","1.8","1.8","999.0","2429"
"Brad Keller","KCR","9","10","4.46","28","28","0","159.0","164","79","18","129","66","1.45","7.34","3.72","4.40","1.8","2.2","999.0","15734"
"Drew Rasmussen","TBR","10","9","3.89","24","48","0","159.0","144","69","19","164","63","1.30","9.27","3.55","3.98","1.8","2.2","999.0","25385"
"Jameson Taillon","NYY","9","9","4.67","28","28","0","152.0","152","79","27","143","45","1.30","8.47","2.68","4.64","1.7","1.4","999.0","11674"
"Casey Mize","DET","9","12","4.57","31","31","0","171.0","178","87","25","141","53","1.35","7.43","2.78","4.54","1.7","1.9","999.0","20492"
"Chris Flexen","SEA","10","12","4.42","31","31","0","183.0","189","90","29","153","52","1.31","7.50","2.54","4.51","1.7","1.8","999.0","13896"
"Adrian Houser","MIL","9","10","4.35","28","28","0","149.0","153","72","16","121","62","1.44","7.33","3.75","4.37","1.7","1.7","999.0","12718"
"Luke Weaver","ARI","8","9","4.38","26","26","0","140.0","139","68","21","139","45","1.32","8.92","2.92","4.24","1.7","1.7","999.0","16918"
"Madison Bumgarner","ARI","9","12","4.80","31","31","0","184.0","193","98","32","157","52","1.34","7.70","2.57","4.75","1.7","1.5","999.0","5524"
"Elieser Hernandez","MIA","8","9","4.28","26","26","0","140.0","132","66","22","140","42","1.25","9.03","2.74","4.31","1.7","1.5","999.0","16933"
"Josiah Gray","WSN","8","9","4.72","24","24","0","139.0","134","73","25","145","54","1.35","9.38","3.47","4.68","1.7","1.3","999.0","24580"
"Sixto Sanchez","MIA","6","6","3.73","16","16","0","92.0","87","38","10","88","29","1.26","8.64","2.85","3.75","1.7","1.5","999.0","19680"
"Trevor Bauer","LAD","5","4","3.70","13","13","0","78.0","66","32","11","96","25","1.17","11.13","2.91","3.63","1.6","1.5","999.0","12703"
"Christian Greene","CIN","7","7","4.44","19","19","0","111.0","105","55","17","118","44","1.35","9.61","3.60","4.37","1.6","1.5","999.0","sa3005315"
"Marco Gonzales","SEA","9","12","4.60","31","31","0","187.0","195","96","33","149","52","1.32","7.14","2.48","4.81","1.6","1.5","999.0","15467"
"David Price","LAD","9","7","4.16","21","41","0","130.0","127","60","19","127","44","1.31","8.74","3.07","4.26","1.6","1.3","999.0","3184"
"Liam Hendriks","CHW","4","3","2.84","0","68","29","68.0","48","21","8","100","17","0.96","13.20","2.22","2.67","1.5","1.4","999.0","3548"
"Mike Soroka","ATL","6","6","4.13","18","18","0","102.0","104","47","12","88","31","1.33","7.76","2.72","4.04","1.5","1.5","999.0","18383"
"Michael Pineda","","9","11","4.67","29","29","0","160.0","172","83","27","132","40","1.33","7.40","2.26","4.57","1.5","1.4","999.0","5372"
"Aaron Ashby","MIL","6","4","3.14","6","61","1","90.0","73","31","8","110","41","1.26","10.96","4.07","3.32","1.5","1.7","999.0","23550"
"Eric Lauer","MIL","8","8","4.25","23","31","0","133.0","126","63","20","133","50","1.32","9.02","3.38","4.41","1.5","1.8","999.0","19316"
"Justin Steele","CHC","7","8","4.37","23","23","0","126.0","121","61","17","122","58","1.42","8.72","4.16","4.48","1.4","1.5","999.0","17312"
"Jose Urquidy","HOU","8","8","4.62","24","24","0","136.0","137","70","25","120","35","1.27","7.94","2.30","4.69","1.4","1.3","999.0","18413"
"Josh Hader","MIL","4","3","2.71","0","67","26","67.0","41","20","7","110","27","1.02","14.78","3.63","2.66","1.4","1.5","999.0","14212"
"Tony Gonsolin","LAD","10","9","4.52","28","28","0","148.0","139","74","24","157","62","1.36","9.55","3.78","4.54","1.4","1.3","999.0","19388"
"Reid Detmers","LAA","7","7","4.30","21","21","0","116.0","107","56","19","124","44","1.30","9.60","3.44","4.41","1.4","1.5","999.0","27468"
"Nate Pearson","TOR","8","7","4.40","21","29","0","125.0","114","61","19","130","54","1.35","9.40","3.90","4.46","1.4","1.8","999.0","20160"
"David Peterson","NYM","7","6","3.84","19","19","0","104.0","96","44","12","103","42","1.33","8.98","3.65","4.07","1.3","1.5","999.0","20302"
"Erick Fedde","WSN","7","8","4.66","23","23","0","121.0","128","63","17","104","44","1.43","7.76","3.31","4.51","1.3","1.1","999.0","17425"
"Aaron Civale","CLE","8","11","4.61","28","28","0","160.0","168","82","27","135","44","1.33","7.57","2.49","4.61","1.3","1.6","999.0","19479"
"Garrett Richards","","8","9","4.64","26","26","0","139.0","143","72","20","121","58","1.44","7.82","3.74","4.65","1.3","1.3","999.0","9784"
"Chris Paddack","SDP","6","5","3.97","16","16","0","87.0","84","38","12","84","22","1.21","8.75","2.23","3.93","1.3","1.3","999.0","20099"
"Sammy Long","SFG","9","10","4.20","24","44","0","160.0","153","74","21","152","62","1.35","8.55","3.51","4.26","1.3","1.7","999.0","25379"
"Reiver Sanmartin","CIN","6","6","4.13","13","37","0","98.0","98","45","13","91","33","1.34","8.35","3.03","4.12","1.3","1.3","999.0","19754"
"Kwang-hyun Kim","","8","9","4.54","24","24","0","129.0","137","65","19","103","44","1.40","7.19","3.05","4.61","1.3","1.2","999.0","27458"
"Nestor Cortes","NYY","8","8","4.55","19","51","0","139.0","132","70","26","146","49","1.30","9.47","3.14","4.65","1.3","1.1","999.0","17874"
"Ross Stripling","TOR","8","8","4.65","24","30","0","133.0","138","69","23","117","40","1.33","7.88","2.70","4.63","1.2","1.5","999.0","13273"
"Michael Wacha","BOS","7","8","4.70","21","36","0","125.0","131","65","20","113","38","1.35","8.14","2.74","4.47","1.2","1.3","999.0","14078"
"Dylan Bundy","","7","9","4.68","24","24","0","131.0","132","68","22","121","44","1.34","8.37","3.02","4.61","1.2","1.1","999.0","12917"
"Tyler Anderson","","10","12","4.83","32","32","0","176.0","186","94","33","142","52","1.35","7.29","2.68","4.95","1.2","1.3","999.0","12880"
"Matthew Boyd","DET","5","5","4.27","15","15","0","81.0","78","38","13","79","24","1.25","8.76","2.65","4.31","1.2","1.2","999.0","15440"
"Glenn Otto","TEX","6","8","4.41","21","21","0","115.0","112","56","17","111","41","1.33","8.69","3.21","4.42","1.2","1.3","999.0","21366"
"Edwin Diaz","NYM","4","3","2.92","0","67","33","67.0","47","22","7","98","25","1.07","13.16","3.36","2.88","1.2","1.0","999.0","14710"
"Bruce Zimmermann","BAL","7","10","4.84","24","24","0","138.0","144","74","25","114","52","1.42","7.43","3.36","5.07","1.2","1.2","999.0","20370"
"Dallas Keuchel","CHW","9","10","4.68","29","29","0","161.0","182","84","22","103","57","1.48","5.75","3.18","4.88","1.2","1.3","999.0","9434"
"Kris Bubic","KCR","7","8","4.51","23","23","0","124.0","123","62","17","109","55","1.43","7.86","3.98","4.64","1.2","1.6","999.0","21455"
"Martin Perez","","7","8","4.49","23","23","0","120.0","126","60","17","101","43","1.40","7.54","3.19","4.54","1.2","1.2","999.0","6902"
"Cal Quantrill","CLE","9","12","4.76","29","29","0","169.0","176","89","27","140","56","1.38","7.46","3.01","4.76","1.2","1.4","999.0","19312"
"Domingo German","NYY","7","6","4.27","13","51","0","109.0","104","52","18","114","33","1.25","9.35","2.68","4.28","1.2","1.1","999.0","17149"
"Luis Patino","TBR","9","10","4.35","23","57","0","155.0","140","75","24","160","65","1.32","9.29","3.75","4.52","1.2","1.3","999.0","22815"
"Randy Dobnak","MIN","7","9","4.82","23","31","0","138.0","159","74","18","88","44","1.47","5.73","2.88","4.66","1.2","0.9","999.0","23798"
"Alec Mills","CHC","8","10","4.87","26","26","0","142.0","157","77","21","105","45","1.43","6.67","2.87","4.72","1.2","0.9","999.0","13834"
"Triston McKenzie","CLE","7","8","4.58","23","23","0","122.0","110","62","21","134","54","1.35","9.94","3.99","4.69","1.2","1.3","999.0","18000"
"Aroldis Chapman","NYY","4","2","2.91","0","64","32","64.0","42","21","6","98","32","1.16","13.75","4.48","3.04","1.1","1.2","999.0","10233"
"Matthew Brash","SEA","7","8","4.19","18","46","0","130.0","117","60","18","135","58","1.35","9.37","4.03","4.35","1.1","1.4","999.0","sa3010616"
"James Kaprielian","OAK","7","9","4.53","23","37","0","140.0","134","71","23","137","48","1.30","8.81","3.07","4.55","1.1","1.1","999.0","18331"
"Joseph Palumbo","SFG","6","6","4.04","16","22","0","97.0","87","44","12","104","46","1.38","9.67","4.28","4.13","1.1","1.2","999.0","17035"
"Wily Peralta","","8","10","4.85","28","28","0","152.0","163","82","22","118","62","1.48","6.99","3.69","4.87","1.1","1.0","999.0","7738"
"Joe Ross","WSN","5","6","4.55","16","16","0","91.0","92","46","14","86","31","1.35","8.52","3.07","4.42","1.1","1.0","999.0","12972"
"Jesus Luzardo","MIA","6","6","4.01","16","30","0","102.0","94","45","13","103","41","1.33","9.08","3.64","4.15","1.1","1.2","999.0","19959"
"Taylor Rogers","MIN","4","3","3.12","0","67","24","67.0","56","23","7","85","19","1.12","11.38","2.59","2.99","1.1","1.2","999.0","13449"
"Emmanuel Clase","CLE","4","3","2.91","0","67","31","67.0","55","22","6","80","21","1.14","10.69","2.87","2.92","1.1","1.3","999.0","21032"
"Raisel Iglesias","","4","3","3.18","0","68","0","68.0","54","24","8","88","20","1.08","11.69","2.65","3.14","1.1","1.1","999.0","17130"
"Zach Plesac","CLE","9","12","4.74","29","29","0","171.0","183","90","30","134","46","1.34","7.03","2.44","4.83","1.1","1.5","999.0","19979"
"Jose Suarez","LAA","8","9","4.61","24","24","0","131.0","132","67","21","115","52","1.40","7.91","3.59","4.80","1.0","1.3","999.0","19911"
"Matt Manning","DET","7","10","4.86","26","26","0","140.0","149","76","21","107","50","1.43","6.86","3.24","4.81","1.0","1.1","999.0","20369"
"Johnny Cueto","","8","10","4.84","26","26","0","143.0","153","77","25","119","45","1.38","7.46","2.82","4.88","1.0","1.0","999.0","6893"
"Brett Anderson","","7","8","4.54","23","23","0","116.0","133","58","14","70","35","1.45","5.43","2.69","4.58","1.0","1.1","999.0","8223"
"Devin Williams","MIL","4","3","3.13","0","65","2","65.0","48","23","6","89","30","1.20","12.28","4.18","3.23","1.0","1.0","999.0","15816"
"Tyler Alexander","DET","7","9","4.68","19","47","0","132.0","138","68","21","108","38","1.34","7.36","2.63","4.67","1.0","1.1","999.0","17735"
"Dustin May","LAD","3","2","3.29","6","16","0","46.0","39","17","5","53","14","1.17","10.55","2.75","3.23","1.0","1.0","999.0","19716"
"Drew Smyly","","7","8","4.74","23","23","0","121.0","123","64","21","114","44","1.37","8.45","3.25","4.77","1.0","1.0","999.0","11760"
"Dakota Hudson","STL","9","9","4.39","24","38","0","150.0","155","73","17","112","64","1.46","6.75","3.85","4.57","1.0","1.1","999.0","19206"
"Ryan Pressly","HOU","4","3","3.19","0","66","30","66.0","56","23","7","78","20","1.15","10.66","2.72","3.17","1.0","1.0","999.0","7005"
"Tucker Davidson","ATL","5","4","4.06","13","19","0","78.0","75","35","10","79","32","1.36","9.06","3.66","4.09","1.0","1.1","999.0","19871"
"J.A. Happ","","8","10","4.87","26","26","0","140.0","149","76","25","118","45","1.38","7.58","2.91","4.85","1.0","0.9","999.0","7410"
"Keegan Akin","BAL","7","10","4.94","24","24","0","131.0","132","72","25","120","55","1.42","8.20","3.78","5.19","0.9","1.0","999.0","19362"
"Carlos Hernandez","KCR","7","9","4.85","24","24","0","134.0","135","72","20","116","60","1.45","7.74","3.98","4.83","0.9","1.3","999.0","22713"
"Aaron Bummer","CHW","4","3","3.00","0","64","0","64.0","53","21","5","74","27","1.25","10.43","3.84","3.27","0.9","1.1","999.0","16258"
"Matt Barnes","BOS","4","3","3.59","0","66","11","66.0","54","26","7","86","29","1.24","11.74","3.90","3.44","0.9","0.9","999.0","12863"
"Grayson Rodriguez","BAL","4","6","4.66","15","15","0","83.0","80","43","15","82","32","1.35","8.84","3.48","4.78","0.9","0.9","999.0","sa3008130"
"Mitch White","LAD","5","4","4.17","10","40","0","84.0","79","39","12","86","31","1.31","9.17","3.27","4.16","0.9","0.7","999.0","19225"
"Rich Hill","","7","8","4.76","23","23","0","121.0","122","64","20","109","45","1.38","8.13","3.34","4.82","0.9","1.0","999.0","4806"
"Cole Irvin","OAK","9","11","4.69","29","29","0","165.0","176","86","28","117","44","1.34","6.41","2.41","4.86","0.9","1.2","999.0","19244"
"Lucas Sims","CIN","3","3","3.69","0","65","26","65.0","51","27","9","89","27","1.20","12.39","3.76","3.66","0.9","0.8","999.0","13470"
"Blake Treinen","LAD","4","3","3.41","0","70","27","70.0","60","27","7","80","26","1.24","10.29","3.38","3.43","0.9","0.8","999.0","12572"
"Yonny Chirinos","TBR","7","8","4.36","19","39","0","130.0","131","63","19","110","39","1.31","7.61","2.71","4.46","0.9","1.1","999.0","16401"
"Matt Harvey","","6","8","4.82","21","21","0","108.0","117","58","18","85","31","1.37","7.03","2.57","4.75","0.9","0.8","999.0","11713"
"Dillon Peters","PIT","6","6","4.16","11","51","0","102.0","101","47","13","91","36","1.34","8.06","3.15","4.28","0.9","0.9","999.0","18790"
"Jordan Romano","TOR","4","3","3.34","0","66","27","66.0","52","24","7","84","26","1.19","11.50","3.58","3.33","0.9","1.0","999.0","16122"
"Spencer Howard","TEX","7","9","4.76","24","24","0","122.0","121","65","20","115","50","1.40","8.45","3.66","4.79","0.9","0.9","999.0","23252"
"Chris Archer","","6","7","4.65","19","19","0","105.0","105","55","17","101","39","1.37","8.59","3.31","4.63","0.9","1.0","999.0","6345"
"Jonathan Loaisiga","NYY","4","3","3.46","0","66","2","66.0","58","25","7","73","22","1.21","9.98","3.06","3.54","0.9","0.8","999.0","19753"
"James Paxton","","3","3","3.87","10","10","0","53.0","48","23","7","58","18","1.23","9.78","3.01","3.90","0.9","0.9","999.0","11828"
